iter	Logloss
0	0.6874382449
1	0.6818425355
2	0.6763578812
3	0.6709815245
4	0.665705921
5	0.6605332141
6	0.6554619554
7	0.6504885385
8	0.6456115089
9	0.6408261215
10	0.6361646963
11	0.6315577024
12	0.6270435227
13	0.6226085932
14	0.6182876112
15	0.6140117398
16	0.6098267411
17	0.6057097587
18	0.6016669191
19	0.5976981547
20	0.593793272
21	0.5899663299
22	0.5862092382
23	0.5825199174
24	0.5788963012
25	0.5753380952
26	0.5718409662
27	0.5684047756
28	0.5650553326
29	0.5617432599
30	0.5584880745
31	0.5553152711
32	0.5521713621
33	0.5490837182
34	0.5460468921
35	0.5430625165
36	0.5401284523
37	0.5372482048
38	0.5344132948
39	0.531636461
40	0.5289041069
41	0.5262131177
42	0.5235712786
43	0.520975315
44	0.5184232881
45	0.515936794
46	0.5134686348
47	0.5110603251
48	0.508676146
49	0.5063524138
50	0.5040450569
51	0.5017774656
52	0.4995462458
53	0.4973503393
54	0.4951967274
55	0.4930774523
56	0.4909927956
57	0.4889521707
58	0.486938241
59	0.4849579055
60	0.4830081519
61	0.4810919542
62	0.4792022686
63	0.4773493136
64	0.4755466119
65	0.473752385
66	0.4719876286
67	0.4702520714
68	0.4685434753
69	0.4668646712
70	0.4652132199
71	0.4635898665
72	0.4619895154
73	0.4604189668
74	0.4588776686
75	0.4573550505
76	0.4558559456
77	0.4543831161
78	0.4529382354
79	0.4515160981
80	0.450117673
81	0.4487402195
82	0.4473849523
83	0.4460449898
84	0.4447259241
85	0.4434325311
86	0.4421575097
87	0.4409028174
88	0.4396705518
89	0.4384699649
90	0.4372822466
91	0.4361124586
92	0.4349559363
93	0.4338244747
94	0.4327151369
95	0.431638781
96	0.4305720902
97	0.4295118104
98	0.4284699616
99	0.427450289
100	0.4264429691
101	0.4254492768
102	0.4244871461
103	0.4235236664
104	0.422578763
105	0.421639779
106	0.4207174902
107	0.4198151875
108	0.418941931
109	0.4180621596
110	0.417200597
111	0.41635179
112	0.4155346019
113	0.4147166739
114	0.4139105035
115	0.4131230071
116	0.4123437757
117	0.411578271
118	0.4108270694
119	0.4100810093
120	0.4093555496
121	0.4086372971
122	0.4079326546
123	0.4072409907
124	0.4065616806
125	0.4058989302
126	0.4052321644
127	0.4045952834
128	0.4039574296
129	0.4033293815
130	0.4027093663
131	0.4020981611
132	0.4015015362
133	0.4009141678
134	0.4003501482
135	0.399791556
136	0.3992344028
137	0.3986985991
138	0.3981600376
139	0.3976369967
140	0.3971158883
141	0.3965955263
142	0.3960801681
143	0.3955921644
144	0.3951015873
145	0.3946149249
146	0.3941358628
147	0.393667831
148	0.3932052052
149	0.392755436
150	0.392322112
151	0.3918829552
152	0.3914617607
153	0.3910391241
154	0.390622558
155	0.3902126813
156	0.3898164503
157	0.3894208208
158	0.3890322275
159	0.3886568837
160	0.3882757608
161	0.3878956061
162	0.3875271294
163	0.3871671969
164	0.3868207349
165	0.3864781977
166	0.3861489007
167	0.3858104499
168	0.3854840765
169	0.3851540053
170	0.3848394184
171	0.384522911
172	0.3842174592
173	0.3839121253
174	0.383608531
175	0.3833193191
176	0.3830317571
177	0.3827322835
178	0.3824536225
179	0.3821762625
180	0.3819002677
181	0.3816389506
182	0.3813796872
183	0.381115121
184	0.3808622166
185	0.3806093325
186	0.3803571873
187	0.3801219352
188	0.3798860839
189	0.379654443
190	0.3794169379
191	0.3791838896
192	0.3789608765
193	0.3787381196
194	0.3785218771
195	0.3783029662
196	0.3780850571
197	0.3778879612
198	0.3776862079
199	0.3774865405
200	0.3773014788
201	0.3770964019
202	0.3769101052
203	0.3767135343
204	0.3765205201
205	0.3763404297
206	0.3761596702
207	0.3759944335
208	0.3758232083
209	0.3756505925
210	0.3754756009
211	0.3753086067
212	0.3751535012
213	0.3749839407
214	0.3748306054
215	0.3746757743
216	0.374525308
217	0.3743796405
218	0.3742274705
219	0.3740925298
220	0.3739599245
221	0.3738339639
222	0.3736992321
223	0.3735630299
224	0.3734280727
225	0.3733033495
226	0.3731776074
227	0.3730484635
228	0.3729154505
229	0.3728002388
230	0.3726829054
231	0.3725678617
232	0.3724583336
233	0.3723416045
234	0.3722220412
235	0.3721030314
236	0.3719883501
237	0.3718808895
238	0.3717727923
239	0.3716630373
240	0.3715632842
241	0.3714583757
242	0.3713623586
243	0.3712727231
244	0.3711704546
245	0.3710741449
246	0.3709832728
247	0.3708867909
248	0.3708030495
249	0.3707200272
250	0.3706334323
251	0.3705521429
252	0.3704697263
253	0.3703833565
254	0.3703050329
255	0.3702255944
256	0.3701405557
257	0.3700584631
258	0.3699776325
259	0.3698966522
260	0.3698218361
261	0.3697420526
262	0.369670977
263	0.3695957882
264	0.3695169291
265	0.3694492231
266	0.3693773274
267	0.3693052543
268	0.3692351249
269	0.3691772748
270	0.3691120777
271	0.3690399264
272	0.368975926
273	0.3689161805
274	0.3688460508
275	0.3687818337
276	0.36872001
277	0.3686643356
278	0.3686024837
279	0.3685404461
280	0.3684829957
281	0.3684289344
282	0.3683790222
283	0.3683272613
284	0.3682723562
285	0.3682258919
286	0.3681798337
287	0.3681290956
288	0.3680735821
289	0.3680272632
290	0.3679753498
291	0.3679228469
292	0.3678683772
293	0.3678201229
294	0.3677754166
295	0.3677303102
296	0.3676898571
297	0.3676432679
298	0.367594781
299	0.3675502763
300	0.3675068664
301	0.3674624615
302	0.3674196383
303	0.3673807153
304	0.3673467088
305	0.3673075174
306	0.36727177
307	0.3672312979
308	0.3671946139
309	0.3671512746
310	0.3671190433
311	0.367083686
312	0.3670489784
313	0.3670078543
314	0.3669696933
315	0.3669278599
316	0.3668936275
317	0.3668543632
318	0.3668204652
319	0.3667856617
320	0.3667514781
321	0.3667206581
322	0.3666849332
323	0.3666541132
324	0.3666217183
325	0.366586103
326	0.3665538246
327	0.3665257521
328	0.366492081
329	0.366460347
330	0.3664285917
331	0.366402506
332	0.3663724277
333	0.3663372426
334	0.3663053201
335	0.366273352
336	0.3662512719
337	0.3662232489
338	0.3661929104
339	0.3661641254
340	0.3661289771
341	0.3660993018
342	0.3660765585
343	0.3660542895
344	0.3660267283
345	0.3660009799
346	0.3659773824
347	0.3659537755
348	0.3659305064
349	0.3659087284
350	0.3658820598
351	0.3658579138
352	0.365833546
353	0.3658114294
354	0.3657823528
355	0.3657566793
356	0.3657304495
357	0.3657033531
358	0.365679331
359	0.3656558872
360	0.365632097
361	0.3656111714
362	0.3655876447
363	0.3655671954
364	0.3655481439
365	0.3655270626
366	0.3655069891
367	0.3654794032
368	0.3654584263
369	0.3654388189
370	0.3654172986
371	0.3653919529
372	0.3653716259
373	0.3653492867
374	0.3653327077
375	0.3653094738
376	0.3652913522
377	0.3652723306
378	0.3652469643
